Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Latitude;Longitude
Tijuca;2;0;0;63;1400.0;440.0;61.0;-22.928146062237186;-43.23703672328142
Copacabana;3;1;0;112;3800.0;1123.0;286.0;-22.974451723966716;-43.182099981151424
Tijuca;3;1;0;129;1800.0;850.0;116.0;-22.926192329940672;-43.236119755155826
Barra da Tijuca;4;3;3;160;8600.0;2300.0;250.0;-22.998945621533885;-43.3683227199394
Recreio dos Bandeirantes;2;1;1;93;1400.0;1300.0;0.0;-23.020944067406628;-43.46264166275942
Freguesia (Jacarepaguá);3;1;1;93;1800.0;650.0;95.0;-22.943407943539935;-43.34666248290406
Barra da Tijuca;1;1;1;60;2200.0;1600.0;350.0;-23.00360146222592;-43.36186616647551
Taquara;2;2;0;55;790.0;350.0;0.0;-22.92070647338457;-43.384352255658484
Copacabana;2;0;0;54;1800.0;590.0;0.0;-22.9744135239457;-43.1811242184931
Catete;2;1;1;70;3300.0;1365.0;180.0;-22.923271119882948;-43.17585577014888
Copacabana;5;1;3;390;10000.0;1000.0;1000.0;-22.968737281397715;-43.18603333606475
Maracanã;2;1;0;53;1300.0;492.0;16.0;-22.916024183851004;-43.229869235227895
Botafogo;1;0;0;35;1000.0;293.0;86.0;-22.953867558290682;-43.18796055795474
Tijuca;3;1;0;164;3500.0;1310.0;257.0;-22.923214299995333;-43.236125136762276
Jacarepaguá;2;1;1;60;1200.0;524.0;13.0;-22.955744468733666;-43.369570937489875
Água Santa;2;1;0;50;850.0;280.0;12.0;-22.914451993361475;-43.316245437175155
Botafogo;2;1;1;79;4315.0;1110.0;187.0;-22.947589971834777;-43.1902652627247
Recreio dos Bandeirantes;2;1;1;80;1600.0;615.0;3.0;-23.01787571216007;-43.463122030887575
Tijuca;1;0;0;36;1300.0;295.0;24.0;-22.924981060763194;-43.22977933397365
Jardim Oceânico;4;4;3;190;5700.0;1069.0;808.0;-23.00813862518138;-43.30967349012624
Freguesia (Jacarepaguá);3;1;0;84;1500.0;900.0;0.0;-22.938122427020097;-43.339056132673754
São Cristóvão;2;0;0;50;1000.0;600.0;0.0;-22.902104310770746;-43.2199799902624
Ilha do Governador;3;1;0;83;1500.0;440.0;132.0;-22.808468622671942;-43.22402395151976
Olaria;2;0;0;90;1000.0;150.0;0.0;-22.849107139358345;-43.27216273752658
Humaitá;1;0;0;57;3990.0;860.0;100.0;-22.95532909239282;-43.19706582351701
Maracanã;3;1;0;95;2500.0;600.0;80.0;-22.912458677987672;-43.23299206826293
Leblon;4;2;2;200;11000.0;2900.0;580.0;-22.98139911735486;-43.223033897176435
Barra da Tijuca;2;1;1;63;1900.0;824.0;0.0;-22.99818011907436;-43.36863364331072
Gávea;2;1;1;100;3900.0;1300.0;320.0;-22.977066813097707;-43.24219739082145
Ipanema;3;2;1;165;7500.0;2200.0;532.0;-22.98756993915963;-43.20362704076002
Ipanema;3;2;2;160;6000.0;3500.0;4600.0;-22.984832108461077;-43.20044186003067
Flamengo;1;1;0;48;2100.0;580.0;70.0;-22.935430376551444;-43.171991239832224
Leblon;2;1;1;87;4800.0;1300.0;361.0;-22.980205747172825;-43.22499989585061
Barra da Tijuca;3;1;1;105;2500.0;1400.0;1500.0;-23.002002492994716;-43.36708086816455
Barra da Tijuca;3;1;1;80;3500.0;1410.0;270.0;-23.002528519824033;-43.366874387129194
Botafogo;3;1;1;102;5100.0;1300.0;0.0;-22.951972078069502;-43.18256178652111
Gávea;3;0;1;120;2700.0;880.0;238.0;-22.982127365241492;-43.24211470694678
Humaitá;2;2;1;112;4500.0;1300.0;0.0;-22.956634393697996;-43.19876783592987
Vila da Penha;2;0;0;60;900.0;160.0;25.0;-22.84575824196906;-43.309971586991864
Lagoa;1;1;0;75;2800.0;800.0;210.0;-22.958656409606515;-43.201592145329315
Ipanema;3;1;1;125;7000.0;2100.0;463.0;-22.98446752329452;-43.20160115056752
Engenho Novo;2;0;0;53;1400.0;460.0;12.0;-22.905842058057143;-43.27045722786082
Recreio dos Bandeirantes;3;3;1;132;2800.0;879.0;0.0;-23.01806217218795;-43.46572414957913
Barra da Tijuca;2;2;1;86;3500.0;1307.0;0.0;-23.003785105034275;-43.36492476242474
Recreio dos Bandeirantes;2;1;1;80;1700.0;690.0;150.0;-23.014021557784282;-43.46156326943163
Recreio dos Bandeirantes;4;2;2;200;3600.0;1177.0;320.0;-23.015490851734278;-43.462262418034854
Barra da Tijuca;2;1;1;77;2500.0;830.0;156.0;-22.99551943368444;-43.365591925958064
Engenho Novo;1;1;0;63;700.0;625.0;36.0;-22.905256897152924;-43.26355925035456
Barra da Tijuca;4;2;2;149;4500.0;2130.0;0.0;-22.996602138390273;-43.36170375027783
Recreio dos Bandeirantes;3;2;2;106;2500.0;780.0;248.0;-23.021518300004562;-43.460328112585024
Anil;2;1;0;48;1100.0;400.0;0.0;-22.955942529870942;-43.33904048373879
Ipanema;4;1;2;250;12000.0;2300.0;1050.0;-22.986531974307205;-43.20341583754026
Gávea;2;1;1;68;2700.0;850.0;186.0;-22.982314937367054;-43.234223862596664
Barra da Tijuca;2;1;1;75;1400.0;1280.0;0.0;-23.003712681400252;-43.36643963514373
Ipanema;2;1;1;97;7000.0;4000.0;4725.0;-22.985044941929207;-43.20449950768645
Cachambi;3;0;0;70;900.0;200.0;30.0;-22.885405020405983;-43.27297874629164
Copacabana;4;2;1;279;3150.0;2025.0;370.0;-22.97408717247645;-43.18105273240513
Laranjeiras;5;3;2;713;30000.0;3800.0;0.0;-22.931760664582463;-43.18493279778608
Cachambi;2;1;0;70;950.0;530.0;30.0;-22.89017772469395;-43.27668002090825
Recreio dos Bandeirantes;4;2;1;400;3500.0;800.0;500.0;-23.019208032626086;-43.463516009288405
Recreio dos Bandeirantes;2;1;1;89;1800.0;884.0;170.0;-23.01439924123226;-43.46622866346848
Maracanã;1;1;1;120;1000.0;985.0;150.0;-22.907703095794567;-43.232565643795375
Recreio dos Bandeirantes;4;3;2;181;3500.0;1080.0;423.0;-23.018013185089348;-43.4600071133106
Tijuca;2;1;1;70;1500.0;890.0;68.0;-22.922769425522333;-43.23630514207999
Vaz Lobo;2;0;0;70;1000.0;32.0;0.0;-22.862078928572533;-43.32975300414424
Madureira;2;0;0;40;600.0;415.0;0.0;-22.873487629570548;-43.33816161354962
Recreio dos Bandeirantes;2;0;0;75;1700.0;659.0;0.0;-23.014296715715275;-43.46179251598498
Copacabana;2;1;1;81;2900.0;893.0;190.0;-22.971261377382653;-43.18841641396389
Praça Seca;3;0;0;90;900.0;330.0;15.0;-22.898882343187633;-43.35607318466648
Vila Isabel;3;3;1;124;1700.0;1400.0;0.0;-22.914467519956588;-43.250762877097515
Recreio dos Bandeirantes;5;3;4;430;6000.0;899.0;750.0;-23.02250061254383;-43.4657422422408
Ipanema;2;0;1;75;5200.0;476.0;120.0;-22.98319810164987;-43.20234086854705
São Conrado;5;2;3;400;13000.0;4165.0;689.0;-22.991333546553726;-43.2679204783961
Freguesia (Jacarepaguá);3;2;1;126;1500.0;1000.0;150.0;-22.937715420971564;-43.33905905717636
Laranjeiras;2;1;1;70;2300.0;620.0;190.0;-22.937400405448546;-43.1874141795379
Recreio dos Bandeirantes;3;2;1;94;1900.0;1300.0;198.0;-23.01436808987053;-43.464105682115694
Barra da Tijuca;4;3;4;192;5000.0;2200.0;562.0;-23.003519396812834;-43.36360151609242
Copacabana;1;0;0;43;1600.0;452.0;242.0;-22.974801575351172;-43.18539580714995
Barra da Tijuca;2;1;1;70;2200.0;780.0;0.0;-22.99888508404195;-43.37045072612944
São Francisco Xavier;3;1;1;73;1200.0;520.0;0.0;-22.903184787017565;-43.24030438667099
Copacabana;3;0;0;120;3000.0;1420.0;0.0;-22.97435716494499;-43.18614483260726
Pechincha;2;1;0;64;800.0;248.0;14.0;-22.932409020474477;-43.353227939896776
Copacabana;1;0;0;45;2800.0;450.0;30.0;-22.968461414172836;-43.18540030109745
Laranjeiras;2;0;0;110;2500.0;968.0;167.0;-22.9366013618699;-43.190022513230176
Ipanema;4;3;3;433;37000.0;9800.0;0.0;-22.983105027618198;-43.206098107965396
Flamengo;2;0;0;85;2700.0;800.0;1150.0;-22.93290966640701;-43.17273124157501
Leme;3;1;1;175;8000.0;1380.0;0.0;-22.96243097576198;-43.16769432204193
Jacarepaguá;2;1;0;68;1100.0;540.0;0.0;-22.952419549396378;-43.375767842691545
Humaitá;2;1;0;64;2500.0;520.0;0.0;-22.95443625556021;-43.20403611203664
Copacabana;1;0;1;37;2500.0;447.0;20.0;-22.96806164368037;-43.17980711619416
Copacabana;4;2;2;240;10000.0;2000.0;700.0;-22.974635667205188;-43.18464325530418
Barra da Tijuca;3;2;2;137;12500.0;1850.0;271.0;-22.997794673792896;-43.36195379280464
Barra da Tijuca;14;2;2;212;5000.0;1200.0;650.0;-23.00209222642646;-43.364781446040475
Irajá;2;1;0;65;1100.0;255.0;0.0;-22.836050827378877;-43.326019260605804
Barra da Tijuca;2;2;1;105;3000.0;1500.0;0.0;-22.99819518799336;-43.3656741810909
Vila Isabel;2;1;0;70;1100.0;550.0;0.0;-22.91849932628181;-43.2479721824695
São Conrado;4;3;4;600;23000.0;16864.0;3910.0;-22.993013605233553;-43.263761484977266
Gávea;3;1;1;108;5000.0;1769.0;226.0;-22.979157519568272;-43.23913814731152
Recreio dos Bandeirantes;2;1;2;85;2300.0;1350.0;125.0;-23.02236221196956;-43.465511691183174
Catete;1;0;0;45;1600.0;500.0;55.0;-22.927295330296435;-43.17594078391031
Barra da Tijuca;3;2;3;160;7000.0;1087.0;455.0;-22.995254310032312;-43.36182288894811
Lagoa;3;2;1;130;5000.0;1000.0;300.0;-22.958000931969305;-43.206651139294024
Freguesia (Jacarepaguá);3;2;1;100;2100.0;780.0;140.0;-22.9447305535101;-43.34073289062393
Freguesia (Jacarepaguá);3;2;3;180;5500.0;1200.0;318.0;-22.943471511189596;-43.34183463356232
Copacabana;3;0;0;80;2500.0;800.0;157.0;-22.974087196267245;-43.187581379746405
Recreio dos Bandeirantes;3;1;1;85;1900.0;450.0;112.0;-23.014615765598055;-43.459080937076386
Barra da Tijuca;5;4;3;171;9000.0;2000.0;3500.0;-22.99631262243682;-43.370418446956236
Centro;1;0;0;42;2200.0;619.0;202.0;-22.27658696781764;-42.53574591070249
Méier;2;1;0;62;1000.0;600.0;38.0;-22.90290425620135;-43.28043201416428
Leblon;4;3;4;260;13500.0;3100.0;0.0;-22.986541078508786;-43.22566561389675
Grajaú;2;0;0;65;1400.0;415.0;21.0;-22.919517995408242;-43.26061185766265
Lagoa;4;3;1;180;11000.0;2530.0;812.0;-22.960633940674214;-43.20240640883523
Copacabana;1;0;0;43;1800.0;639.0;76.0;-22.970968900108467;-43.18787766267144
Lagoa;2;1;1;80;2200.0;2600.0;420.0;-22.958080702427317;-43.2012845599355
Flamengo;2;1;0;57;2800.0;832.0;98.0;-22.932598313140602;-43.172986510116814
Campo Grande;3;1;1;98;1800.0;950.0;0.0;-22.90738259203563;-43.5595499112437
Jardim Botânico;3;1;2;170;6000.0;860.0;540.0;-22.96078226278396;-43.223085883079285
Leblon;4;2;2;207;15500.0;6000.0;934.0;-22.9852663912302;-43.22425449547982
Barra da Tijuca;4;4;4;518;38000.0;5004.0;1747.0;-22.998269901565305;-43.365165100941645
Ipanema;1;0;1;50;2400.0;897.0;26.0;-22.980005329964655;-43.1995680776437
Recreio dos Bandeirantes;3;2;1;150;2500.0;1012.0;0.0;-23.021806479970458;-43.459563014941175
Copacabana;2;0;0;65;2700.0;710.0;130.0;-22.975435141966226;-43.18362159978133
Recreio dos Bandeirantes;4;3;2;300;4500.0;1500.0;580.0;-23.022051776200612;-43.462725905666154
Recreio dos Bandeirantes;2;2;1;115;1900.0;661.0;0.0;-23.018036087232034;-43.46749796758342
Recreio dos Bandeirantes;3;3;1;110;1500.0;873.0;0.0;-23.020563966089163;-43.463444426035956
Barra da Tijuca;4;3;4;304;13000.0;3800.0;1350.0;-22.99879693155673;-43.36815175044443
Tijuca;3;1;0;88;2300.0;790.0;885.0;-22.92277659031575;-43.230410956825075
Ipanema;3;1;1;145;7200.0;2900.0;500.0;-22.98662332418905;-43.19845931543882
Urca;1;0;0;53;2800.0;770.0;0.0;-22.952865858370032;-43.16473029643718
Ipanema;3;1;1;116;5000.0;1600.0;316.0;-22.986079844885325;-43.201076034410896
Tijuca;3;1;0;116;2000.0;790.0;194.0;-22.924838313330657;-43.230988001300645
Vila Isabel;3;0;0;82;1200.0;664.0;86.0;-22.913051271580287;-43.2553030559409
Barra da Tijuca;3;2;1;130;4800.0;1700.0;433.0;-22.996625466580348;-43.36892959639112
Freguesia (Jacarepaguá);3;1;1;90;1700.0;595.0;0.0;-22.944559213790583;-43.342205493179186
Flamengo;2;1;0;68;2000.0;536.0;148.0;-22.934671918046927;-43.172202617661945
Copacabana;1;0;0;60;2800.0;620.0;128.0;-22.97398387798425;-43.186295723442996
Taquara;2;1;0;53;1100.0;450.0;150.0;-22.92635448879821;-43.38362300517935
Penha;2;0;0;64;950.0;180.0;0.0;-22.835672626992825;-43.27685629727068
